Flag - Loan,Flag - Credit Pull,Flag - App Started,Flag  - App Complete,state,LIEN1FINANCELOANAMOUNT,Adjusted Gross Income,A - Educational Expenses,A - Real Estate Taxes,A - Home Mortgage Interest,A Invest Interest,A - Child Tax Credit,A - EIC,A - Tax Liability
0,0,0,0,SC,15599993.0310078,67640.648883375,6.799834574,693.331679074,1949.456575682,51.761786600,202.031017370,632.785359801,8704.831265509
0,0,0,0,LA,8988458.72769953,54053.420187793,6.525430360,392.299295775,1171.517605634,31.903364632,164.857589984,672.280516432,7297.520344288
0,0,1,0,VA,216944.6,152711.566666667,17.4,2984.433333333,7404.366666667,39.7,502.1,634.833333333,18623.066666667
0,1,1,0,FL,226297.826086957,152168.34057971,16.521739130,2133.652173913,3975.949275362,74.942028986,485.057971014,1697.217391304,18719.123188406
1,1,1,1,CA,309354.242424242,196195.828282828,20.171717172,4401.934343434,9482.555555556,38.974747475,729.449494949,1667.545454545,22054.535353535
0,0,1,0,OR,171830,143431.833333333,11.166666667,2815.833333333,5605.5,46.833333333,626.333333333,1088.666666667,14759.666666667
1,1,1,1,MT,313957.428571429,94118.547619048,8.190476190,1344.619047619,3012.452380952,35.952380952,322.761904762,491.119047619,12342.142857143
0,1,1,1,DE,209321.894736842,167291.131578947,18.833333333,2068.447368421,6648.561403509,16.877192982,563.210526316,1173.596491228,19092.184210526
0,0,0,0,OH,3894554.74601844,83030.813067101,7.645476773,1550.317033415,1792.838630807,23.565607172,251.477587612,469.827085031,11219.423227384
0,1,1,1,IL,265574.444444444,220736.240740741,18.277777778,8416.555555556,6942.333333333,184,405.555555556,619.055555556,35571.092592593
0,1,1,1,NH,315137.666666667,130473.944444444,12.611111111,4065.611111111,4300.888888889,23.333333333,378.222222222,417.777777778,16957.277777778
0,0,0,0,TX,9734432.91625835,120600.463093146,14.565538957,2575.899311658,2634.686072056,83.807557118,372.073301113,975.139425893,17872.445371998
0,1,1,1,ME,227263.5,26863.972222222,2.694444444,575.833333333,928.277777778,0.527777778,98.361111111,124.361111111,2913.666666667
0,1,1,0,CT,331440.5,110715.5,11.916666667,3522.083333333,3714,95.25,126.5,152.583333333,18610.5
0,0,1,0,MD,347652.538461538,145435.897435897,12.576923077,3725.346153846,8094.794871795,40.384615385,296.807692308,471.871794872,18980.551282051
0,0,0,0,FL,15251681.2049505,128370.167977712,11.220747296,1986.014339561,3009.338495575,156.049000328,297.049410029,1183.136102917,18859.126270075
0,1,1,0,TX,216785.095238095,209805.682539683,33.007936508,4456.992063492,5265.777777778,143.111111111,864.571428571,1595.515873016,28084.214285714
0,0,0,0,CO,2890928.9216152,135995.008313539,10.572050673,1628.223277910,5022.562945368,94.479414093,387.722486144,571.589073634,19607.604117181
0,0,0,0,NM,17346970.4907975,66649.153021443,7.978557505,761.276803119,1855.163742690,39.227095517,228.759259259,611.879142300,8292.277777778
0,1,1,0,PA,217261,107341.111111111,13.388888889,2376.944444444,2780.833333333,11.055555556,371.888888889,713.111111111,11590.944444444
1,1,1,1,IA,232722,106678.30952381,10.452380952,2496.761904762,2930.880952381,28.571428571,368.095238095,362.023809524,13933.166666667
1,1,1,1,VA,237160.03125,188330.296875,20.286458333,3508.052083333,9520.166666667,40.005208333,624.78125,1009.796875,23228.015625
1,1,1,1,NH,184000,70155.333333333,9.166666667,1917.833333333,1887.5,0,279,343.666666667,7697
0,0,1,0,CA,301486.4,176733.177777778,16.488888889,3921.566666667,8126.177777778,47.066666667,628.811111111,1380.211111111,20901.711111111
1,1,1,1,MI,197616,114153.076923077,11.794871795,2071.705128205,3062.897435897,21.192307692,381.474358974,563.057692308,14352.628205128
1,1,1,1,OR,202268,167459.333333333,17.666666667,3952.833333333,6432.166666667,76.833333333,570.166666667,691.5,20719.333333333
0,0,1,0,DE,206907.285714286,156839.428571429,18.785714286,1931.095238095,6029.309523810,19.880952381,522.095238095,1075.380952381,17941.166666667
0,0,1,0,OK,216319.428571429,133629.976190476,12.476190476,1758.690476190,3279.642857143,49.309523810,399.666666667,610.095238095,19575.309523810
0,0,1,0,IL,173954.166666667,178193.583333333,23.472222222,5021.055555556,5424.333333333,11.111111111,689.305555556,2416.583333333,17999.833333333
1,1,1,1,MD,263999.210526316,172454.666666667,16.956140351,3769.078947368,8349.298245614,14.008771930,508.587719298,1287.157894737,18234.921052632
0,1,1,1,VA,248289.631578947,131765.052631579,14.131578947,2369.684210526,5641.780701754,44.114035088,367.385964912,723.710526316,16901.675438596
0,0,1,0,AZ,231014.285714286,119570.285714286,15.285714286,975.333333333,3621.214285714,1.857142857,745,1527.238095238,10438.023809524
0,0,0,0,CT,13808493.2264151,108874.089026915,9.620082816,3330.836438923,2920.999482402,189.530538302,165.076604555,322.707556936,19286.5
0,1,1,0,TN,196768.1,137815.9,13.883333333,1564.083333333,3727.05,46.716666667,523.866666667,902.25,18902.666666667
0,0,1,0,NH,255300,126104.666666667,11.333333333,3870.5,3937,87.166666667,145.5,165.5,20235.833333333
0,0,1,0,MI,191875.666666667,152375.638888889,15.111111111,2645,4159.944444444,29.583333333,511.527777778,812.166666667,18316.388888889
0,0,0,0,OK,8457285.04291845,35390.920423497,3.959699454,337.336407104,675.347336066,12.343920765,136.193647541,334.117486339,4374.349043716
0,0,0,0,DE,36475836.3142857,102786.849537037,10.402777778,1321.004629630,3518.266203704,50.585648148,266.418981481,615.293981481,13769.037037037
0,0,0,0,TN,10942661.9793673,72073.280375974,6.959880789,665.599954149,1565.793443375,42.260201742,223.303071985,574.213434204,10313.647409445
1,1,1,1,DE,224455.933333333,138434.788888889,15.6,1859.911111111,5112.2,54.566666667,375.122222222,661.211111111,18011
1,1,1,1,OK,181655.571428571,177148.809523809,18.357142857,2299.5,4198.357142857,126.928571429,587.428571429,953.809523810,23943.333333333
1,1,1,1,IL,221743,129972.277777778,15.888888889,4011,4370.092592593,11.759259259,454.314814815,810.722222222,14975
1,1,1,1,AZ,237809.518518519,153402.555555556,16.493827160,1654.518518519,5041.413580247,68.611111111,607.006172840,1359.679012346,17684.993827160
