Flag - Credit Pull ,Flag - App Started,Flag - App Complete,Flag - Loan,Zip Code Short,LIEN1FINANCELOANAMOUNT
0,0,0,0,61752,187345.692307692
0,0,0,0,22406,306956.402135231
0,0,0,0,49544,190606.510638298
0,0,0,0,52246,250730.203125
0,0,0,0,18332,241762.75
0,0,0,0,54814,229502.714285714
0,0,0,0,16407,165525.8
0,0,0,0,71665,206196
0,0,0,0,77048,183553.056074766
0,0,0,0,15427,157102
0,0,0,0,34983,207187.521499449
0,0,0,0,44262,179781.666666667
0,0,0,0,50660,203762.75
0,0,0,0,95242,300750.464788732
0,0,0,0,16434,255290
0,0,0,0,33137,451175
0,0,0,0,43777,201283.5
0,0,0,0,18301,186986
0,0,0,0,22435,170878.5
0,0,0,0,60459,196233.743421053
0,0,0,0,19734,281363.196374622
0,0,0,0,85375,226897.398809524
0,0,0,0,32502,189830.555555556
0,0,0,0,80907,221373
0,0,0,0,54827,
0,0,0,0,74756,155677
0,0,0,0,53093,239076.4
0,0,0,0,61761,188760.659793814
0,0,0,0,04969,
0,0,0,0,53932,247751.666666667
0,0,0,0,78076,218956.857142857
0,0,0,0,60187,288629.653846154
0,0,0,0,73090,187384.666666667
0,0,0,0,33948,193974.902857143
0,0,0,0,72904,157699.5
0,0,0,0,95642,271410.897959184
0,0,0,0,81240,201577.5
0,0,0,0,17401,162000
0,0,0,0,44662,205778.333333333
0,0,0,0,22738,219280
0,0,0,0,74824,161728.8
0,1,0,0,79382,163975
0,0,0,0,54755,192270.256410256
0,0,0,0,21015,279010.084051724
0,0,0,0,61361,171000
0,0,0,0,75763,233084
0,0,0,0,70663,197361.615789474
0,0,0,0,32102,234942.142857143
0,0,0,0,92584,330805.121842496
0,0,0,0,71485,235579.8
0,0,0,0,91377,397996.933333333
0,0,0,0,97389,212122
1,1,1,1,23323,209470
0,0,0,0,33896,222505.128205128
0,0,0,0,04622,186014
0,0,0,0,36703,201275.5
1,1,1,1,32218,165852
0,0,0,0,50154,
0,0,0,0,21853,191957.111111111
0,0,0,0,72142,275590
0,0,0,0,51561,213492.25
0,0,0,0,75457,194596
0,0,0,0,37336,218490.038461538
0,0,0,0,20714,266245.703703704
0,0,0,0,33603,208447.546153846
0,0,0,0,24221,174775
0,0,0,0,15320,160754.666666667
0,0,0,0,62075,208795
0,0,0,0,03845,188135
0,0,0,0,50659,222609.625
0,0,0,0,93285,191517
0,0,0,0,23039,279609.4
0,0,0,0,22301,382174.153846154
0,0,0,0,49931,216275
0,0,0,0,17038,172069
0,0,0,0,59479,216015
0,0,0,0,77042,276037.04
0,0,0,0,74062,156407.333333333
0,0,0,0,06237,243875.069767442
0,0,0,0,16877,182400
0,0,0,0,15428,142373
0,0,0,0,73572,195640
0,0,0,0,75452,185038.105263158
0,0,0,0,24224,186498.333333333
0,0,0,0,43046,235484.923076923
0,0,0,0,76472,232500
0,0,0,0,37841,195864.133333333
0,0,0,0,24529,215117.333333333
0,0,0,0,20711,368278.72
0,0,0,0,93453,490842
0,0,0,0,60465,212995.691358025
0,0,0,0,85297,262547.948339483
0,0,0,0,21856,217951.5
1,1,1,1,53081,183612
0,0,0,0,32233,235218.46875
0,0,0,0,06232,251486.269230769
0,1,0,0,72758,152229
0,0,0,0,77047,185999.88362069
0,0,0,0,49246,210934.5
0,0,0,0,04627,
0,0,0,0,50151,192000
0,0,0,0,52544,183495.5
0,0,0,0,93280,202587.37962963
0,0,0,0,59803,280473.823529412
0,0,0,0,92066,289732.5
0,0,0,0,22304,374683.3125
0,0,0,0,80249,322043.614678899
0,0,0,0,03840,334788.727272727
0,0,0,0,33606,360895.25
0,0,0,0,73626,169515
0,0,0,0,53528,255382.86440678
1,1,1,0,54414,153424
0,0,0,0,68124,
0,0,0,0,49112,190539.803921569
0,0,0,0,95627,287500.409090909
0,0,0,0,37067,329455.00952381
0,0,0,0,71941,164042
0,0,0,0,85710,188026.494199536
0,0,0,0,74333,209000
0,0,0,0,48886,179908.8
0,0,0,0,78013,313963.818181818
0,0,0,0,29168,180999.142857143
0,0,0,0,92840,421268.652173913
0,0,0,0,77861,235691.333333333
0,0,0,0,94960,473045.214285714
0,0,0,0,88005,210233.677419355
0,0,0,0,54730,227286.571428571
0,0,0,0,62324,211625
0,0,0,0,80610,322187
0,0,0,0,53225,187881.703296703
0,0,0,0,38367,212979.333333333
0,0,0,0,15071,224121.607843137
1,1,1,1,75025,300600
0,0,0,0,75706,209953.388888889
0,0,0,0,18069,251568.5
0,0,0,0,15221,199162.846153846
0,0,0,0,29435,160242.125
0,0,0,0,97062,304753.307692308
0,0,0,0,36602,189000
0,0,0,0,21220,254348.055147059
0,0,0,0,54560,179488.5
0,0,0,0,91791,460834.865671642
0,0,0,0,33702,216963.037037037
0,0,0,0,35622,181179.75
0,0,0,0,49342,308850.666666667
0,0,0,0,75488,265109
0,0,0,0,71063,204232
0,0,0,0,16201,189583.333333333
0,0,0,0,23138,228052.5
0,0,0,0,53075,216803.916666667
0,0,0,0,50055,198833.333333333
0,0,0,0,60561,266576.396648045
